GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ims,com.ims.models.dtos.response,LoanDetailDto,0,3,0,0,0,1,0,1,0,1
ims,com.ims.models.dtos.request,UpdateLoanDto,3,0,0,0,1,0,1,0,1,0
ims,com.ims.models.dtos.request,CreateItemDto,1,21,1,1,0,1,1,1,0,1
ims,com.ims.models.dtos.request,LoginUserDto,0,9,0,0,0,4,0,1,0,1
ims,com.ims.models.dtos.request,CreateUserDto,0,15,0,0,0,6,0,1,0,1
ims,com.ims.models.dtos.request,SignupUserDto,15,0,0,0,6,0,1,0,1,0
ims,com.ims.config,EmailConfig,68,3,0,0,16,1,1,1,1,1
ims,com.ims.config,ApplicationConfiguration,23,10,0,0,6,4,3,2,3,2
ims,com.ims.config,SecurityConfig,71,0,0,0,14,0,4,0,4,0
ims,com.ims.config,EmailAsyncConfig,20,3,0,0,7,1,1,1,1,1
ims,com.ims.config,JwtAuthenticationFilter,120,0,26,0,27,0,16,0,3,0
ims,com.ims.helpers.validation,DesignationOrBarcodeValidator,25,0,10,0,5,0,7,0,2,0
ims,com.ims.services,AuthenticationService,220,31,8,0,57,7,5,3,1,3
ims,com.ims.services,ItemService,30,223,4,12,7,51,3,12,0,7
ims,com.ims.services,CustomUserDetailsService,0,32,0,0,0,5,0,2,0,2
ims,com.ims.services,LoanService,90,290,4,14,13,80,10,16,6,11
ims,com.ims.services,ItemRequestService,724,0,40,0,174,0,44,0,24,0
ims,com.ims.services,NotificationService,300,0,2,0,72,0,8,0,7,0
ims,com.ims.services,EmailService,0,47,0,0,0,14,0,3,0,3
ims,com.ims.services,UserService,69,323,6,16,15,82,11,19,5,14
ims,com.ims.models,ItemRequestStatus,0,33,0,0,0,6,0,1,0,1
ims,com.ims.models,Role,0,39,0,0,0,8,0,2,0,2
ims,com.ims.models,LoanStatus,37,32,14,0,4,7,11,2,4,2
ims,com.ims.models,Category,45,0,0,0,8,0,1,0,1,0
ims,com.ims.models,User,60,125,8,8,12,26,11,17,6,14
ims,com.ims.models,ItemRequest,3,10,0,0,2,4,1,1,1,1
ims,com.ims.models,Loan,32,41,0,0,9,13,1,2,1,2
ims,com.ims.models,Item,19,55,4,0,3,17,4,3,2,3
ims,com.ims,InitialDataSeeder,455,3,8,0,50,1,14,1,10,1
ims,com.ims,ImsApplication,42,3,2,0,14,1,2,1,1,1
ims,com.ims.security,JwtService,45,69,4,0,8,16,5,9,3,9
ims,com.ims.security,AuthenticationFacade,6,0,0,0,2,0,2,0,2,0
ims,com.ims.security,CustomUserDetails,8,24,0,0,4,4,4,4,4,4
ims,com.ims.security,UserSecurity,7,30,2,6,1,9,2,4,0,2
ims,com.ims.exceptions,InvalidQuantityException,0,4,0,0,0,2,0,1,0,1
ims,com.ims.exceptions,InvalidLoanStateException,0,4,0,0,0,2,0,1,0,1
ims,com.ims.exceptions,InvalidUserRoleException,4,0,0,0,2,0,1,0,1,0
ims,com.ims.exceptions,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
ims,com.ims.exceptions,LoanNotFoundException,4,0,0,0,2,0,1,0,1,0
ims,com.ims.exceptions,ItemRequestNotFoundException,4,0,0,0,2,0,1,0,1,0
ims,com.ims.exceptions,LoanCreationException,5,0,0,0,2,0,1,0,1,0
ims,com.ims.exceptions,ItemNotFoundException,4,0,0,0,2,0,1,0,1,0
ims,com.ims.exceptions,DuplicateResourceException,4,0,0,0,2,0,1,0,1,0
ims,com.ims.exceptions,InsufficientQuantityException,7,0,0,0,4,0,2,0,2,0
ims,com.ims.exceptions,UnauthorizedException,17,0,0,0,8,0,4,0,4,0
ims,com.ims.exceptions,ForbiddenException,4,0,0,0,2,0,1,0,1,0
ims,com.ims.exceptions,EmailAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
ims,com.ims.exceptions,GlobalExceptionHandler,46,0,0,0,6,0,6,0,6,0
ims,com.ims.exceptions,UserNotFoundException,4,0,0,0,2,0,1,0,1,0
ims,com.ims.exceptions,ServiceException,9,0,0,0,4,0,2,0,2,0
ims,com.ims.controllers,GuestController,15,0,0,0,4,0,2,0,2,0
ims,com.ims.controllers,UserController,66,0,6,0,15,0,7,0,4,0
ims,com.ims.controllers,ClientController,27,0,0,0,6,0,4,0,4,0
ims,com.ims.controllers,DatabaseHealthController,20,0,0,0,6,0,2,0,2,0
ims,com.ims.controllers,AuthenticationController,12,0,0,0,2,0,2,0,2,0
ims,com.ims.controllers,ManagerController,48,0,0,0,9,0,7,0,7,0
ims,com.ims.models.dtos,ItemResponseDto,111,27,18,0,13,8,12,1,3,1
